"","X","republican","democrat","place_lat","place_lon"
"1",52,1,0,40.00487,-75.117998
"2",81,1,0,40.90658,-72.8842045
"3",98,1,0,34.26427,-77.7984965
"4",109,0,1,34.02079,-118.4119065
"5",116,1,0,42.0669315,-72.647773
"6",119,0,1,30.3233455,-97.754724
"7",124,1,0,45.00118,-86.2705395
"8",149,0,1,25.904155,-80.2602905
"9",150,1,0,32.8611075,-85.2010495
"10",183,0,1,39.159193,-75.5178975
"11",194,1,0,38.8051145,-77.2369685
"12",223,1,0,39.9946835,-82.985772
"13",234,0,1,42.39903,-83.2914865
"14",248,1,0,42.47981,-83.260274
"15",252,1,0,45.00118,-86.2705395
"16",271,0,1,28.84409,-82.328624
"17",288,0,1,37.33116,-121.8737305
"18",314,0,1,42.3527865,-83.099288
"19",318,1,0,37.331159,-121.8737305
"20",341,1,0,35.95902,-78.515337
"21",354,1,0,39.99468,-82.985772
"22",365,1,0,29.8385,-95.4464865
"23",367,0,1,25.77143,-80.191269
"24",377,1,0,36.200008,-86.791549
"25",379,1,0,36.200008,-86.791549
"26",412,0,1,25.78235,-80.2333285
"27",433,1,0,36.84176,-76.355918
"28",457,1,0,40.00487,-75.117998
"29",468,0,1,47.2429605,-122.455344
"30",498,0,1,40.75171,-74.1200775
"31",511,1,0,36.8100165,-76.535528
"32",517,1,0,32.377719,-88.709551
"33",518,1,0,32.37772,-88.709551
"34",521,1,0,41.2353315,-80.8172445
"35",532,1,0,36.73043,-88.6281955
"36",537,1,0,32.364145,-86.2447285
"37",538,1,0,32.364145,-86.2447285
"38",547,1,0,30.8560845,-83.302512
"39",570,0,1,29.982601,-90.011008
"40",573,1,0,35.1705,-79.861034
"41",740,1,0,36.0904,-79.8573635
"42",773,1,0,26.16486,-80.230358
"43",774,1,0,33.58845,-86.252558
"44",802,0,1,30.38788,-91.06646
"45",811,1,0,40.04301,-87.636987
"46",831,1,1,38.0033755,-79.420865
"47",838,0,1,42.35279,-83.099288
"48",862,0,1,29.982601,-90.011008
"49",918,1,1,38.92655,-76.8488645
"50",926,1,0,42.39903,-83.2914865
"51",927,1,0,42.9687165,-85.924871
"52",940,0,1,35.8439815,-78.657837
"53",956,1,0,38.00338,-79.420865
"54",1016,1,0,38.4982,-98.319925
"55",1017,1,0,36.20001,-86.791549
"56",1018,1,0,36.200008,-86.791549
"57",1033,1,0,37.31622,-120.47181
"58",1038,1,0,29.982601,-90.011008
"59",1039,1,0,29.982601,-90.011008
"60",1051,1,0,26.1769615,-98.000235
"61",1053,0,1,41.5642575,-93.774755
"62",1083,1,0,41.49594,-81.705467
"63",1101,1,0,39.7665555,-86.441236
"64",1136,0,1,33.97934,-117.5800355
"65",1147,0,1,36.76322,-76.2958955
"66",1171,0,1,34.02079,-118.4119065
"67",1179,1,0,38.82318,-76.9489425
"68",1180,1,0,38.82318,-76.9489425
"69",1181,1,0,37.331159,-121.8737305
"70",1187,0,1,28.78873,-81.7352545
"71",1193,1,1,37.6735485,-122.13406
"72",1195,0,1,37.6735485,-122.13406
"73",1205,1,0,41.83358,-87.732013
"74",1252,0,1,30.937336,-91.4010085
"75",1258,0,1,30.937336,-91.4010085
"76",1281,0,1,41.086917,-85.1700515
"77",1282,1,0,33.82016,-84.3262175
"78",1288,1,0,35.97228,-77.8116535
"79",1303,1,0,29.700397,-95.658066
"80",1348,0,1,35.3469015,-119.025163
"81",1363,0,1,27.737151,-97.432425
"82",1378,0,1,38.806053,-89.972622
"83",1386,0,1,41.83358,-87.732013
"84",1395,0,1,32.23099,-90.1580165
"85",1397,0,1,32.23099,-90.1580165
"86",1413,0,1,33.6311395,-80.926628
"87",1417,1,0,40.655138,-73.9487755
"88",1419,0,1,39.005783,-92.7456245
"89",1423,0,1,34.02079,-118.4119065
"90",1433,1,0,34.7060265,-86.611411
"91",1462,1,0,38.75682,-82.9763795
"92",1463,1,0,38.7568175,-82.9763795
"93",1464,1,0,34.7060265,-86.611411
"94",1466,0,1,33.95638,-83.3997795
"95",1467,1,0,41.5903965,-73.909795
"96",1468,1,0,32.6782075,-83.1738665
"97",1475,1,0,37.25175,-77.3323615
"98",1484,1,0,35.63681,-87.047352
"99",1489,0,1,39.284713,-76.620482
"100",1495,0,1,42.9944585,-83.72561
"101",1499,1,0,25.78235,-80.2333285
"102",1508,1,0,32.81986,-96.7617535
"103",1516,1,0,41.83358,-87.732013
"104",1518,1,0,30.08692,-94.1286335
"105",1520,0,1,40.0048655,-75.117998
"106",1524,0,1,40.0048655,-75.117998
"107",1525,0,1,40.0048655,-75.117998
"108",1526,1,1,40.0048655,-75.117998
"109",1528,1,0,40.00487,-75.117998
"110",1536,0,1,32.230987,-90.1580165
"111",1540,1,0,32.67821,-83.1738665
"112",1541,1,0,32.67821,-83.1738665
"113",1542,1,0,42.3527865,-83.099288
"114",1574,0,1,36.76322,-76.2958955
"115",1576,1,0,33.99392,-118.080024
"116",1596,1,0,40.5517695,-74.466483
"117",1607,1,0,40.72569,-74.2327845
"118",1614,0,1,30.4591,-91.0907995
"119",1616,1,0,30.206079,-92.0611765
"120",1621,1,0,41.83358,-87.732013
"121",1627,1,0,40.0048655,-75.117998
"122",1629,0,1,39.1000485,-94.5592815
"123",1630,1,0,42.35279,-83.099288
"124",1742,1,0,32.391924,-83.337803
"125",1752,0,1,37.592295,-84.2945625
"126",1816,1,0,35.4828435,-97.552161
"127",1850,1,0,42.971199,-71.4440805
"128",1869,1,0,24.556903,-81.802166
"129",1905,1,0,27.7957195,-82.672903
"130",1913,1,0,42.46679,-83.17817
"131",1914,1,0,42.46679,-83.17817
"132",1916,0,1,42.746617,-75.770041
"133",1917,1,0,42.746617,-75.770041
"134",1965,1,0,33.1966005,-87.5334065
"135",1967,0,1,40.80324,-96.6965625
"136",1970,1,0,38.841163,-77.438513
"137",2074,0,1,35.20906,-80.8467855
"138",2078,1,0,45.11622,-93.243638
"139",2083,1,0,27.63537,-80.4917725
"140",2190,0,1,29.838495,-95.4464865
"141",2210,0,1,38.806053,-89.972622
"142",2222,0,1,41.08254,-111.967516
"143",2256,1,1,38.9421645,-84.551798
"144",2259,0,1,41.48482,-87.3198245
"145",2265,0,1,41.58585,-87.3277335
"146",2335,0,1,45.00118,-86.2705395
"147",2350,0,1,37.467999,-122.136082
"148",2351,0,1,37.468,-122.136082
"149",2352,1,0,37.467999,-122.136082
"150",2354,1,0,34.9386845,-82.239422
"151",2356,1,0,34.9386845,-82.239422
"152",2369,1,0,44.90082,-89.5694915
"153",2378,1,0,29.4175,-98.5406515
"154",2394,0,1,42.746617,-75.770041
"155",2422,1,0,42.74672,-84.4816265
"156",2476,1,0,32.223647,-95.227378
"157",2477,0,1,31.16889,-100.0768885
"158",2478,1,0,31.16889,-100.0768885
"159",2491,1,0,34.022688,-118.48042
"160",2514,1,0,30.4591,-91.0907995
"161",2515,1,1,30.5844255,-91.1636195
"162",2518,0,1,30.5844255,-91.1636195
"163",2580,1,1,40.16593,-105.1122165
"164",2595,1,0,33.63114,-80.926628
