"","count","X","name","unicode","bytes","emojiid","rencoding","dens","dens_sm"
"1",48748,2,"face with tears of joy","U+1F602","\xF0\x9F\x98\x82",2,"<ed><a0><bd><ed><b8><82>",26.8,0.0268371285940469
"2",7867,32,"loudly crying face","U+1F62D","\xF0\x9F\x98\xAD",32,"<ed><a0><bd><ed><b8><ad>",4.3,0.00433146377931776
"3",7712,490,"clapping hands sign","U+1F44F","\xF0\x9F\x91\x8F",490,"<ed><a0><bd><ed><b1><8f>",4.2,0.0042461337226586
"4",7567,680,"fire","U+1F525","\xF0\x9F\x94\xA5",680,"<ed><a0><bd><ed><b4><a5>",4.2,0.00416630883094519
"5",6824,81,"heavy black heart","U+2764","\xE2\x9D\xA4",81,"<e2><9d><a4>",3.8,0.00375727507547581
"6",6540,488,"thumbs up sign","U+1F44D","\xF0\x9F\x91\x8D",488,"<ed><a0><bd><ed><b1><8d>",3.6,0.00360092839101645
"7",4377,536,"skull","U+1F480","\xF0\x9F\x92\x80",536,"<ed><a0><bd><ed><b2><80>",2.4,0.00241016121325027
"8",3078,55,"person raising both hands in celebration","U+1F64C","\xF0\x9F\x99\x8C",55,"<ed><a0><bd><ed><b9><8c>",1.7,0.00169504028679707
"9",3028,582,"hundred points symbol","U+1F4AF","\xF0\x9F\x92\xAF",582,"<ed><a0><bd><ed><b2><af>",1.7,0.00166751446206831
"10",2769,489,"thumbs down sign","U+1F44E","\xF0\x9F\x91\x8E",489,"<ed><a0><bd><ed><b1><8e>",1.5,0.00152493068997333
"11",2605,8,"smiling face with smiling eyes","U+1F60A","\xF0\x9F\x98\x8A",8,"<ed><a0><bd><ed><b8><8a>",1.4,0.001434645984863
"12",2468,58,"person with folded hands","U+1F64F","\xF0\x9F\x99\x8F",58,"<ed><a0><bd><ed><b9><8f>",1.4,0.00135922522510619
"13",2184,739,"steam locomotive","U+1F682","\xF0\x9F\x9A\x82",739,"<ed><a0><bd><ed><ba><82>",1.2,0.00120287854064683
"14",2160,36,"flushed face","U+1F633","\xF0\x9F\x98\xB3",36,"<ed><a0><bd><ed><b8><b3>",1.2,0.00118966614477703
"15",2051,11,"smiling face with heart-shaped eyes","U+1F60D","\xF0\x9F\x98\x8D",11,"<ed><a0><bd><ed><b8><8d>",1.1,0.00112965984686833
"16",2038,164,"double exclamation mark","U+203C","\xE2\x80\xBC",164,"<e2><80><bc>",1.1,0.00112250313243885
"17",1948,23,"pouting face","U+1F621","\xF0\x9F\x98\xA1",23,"<ed><a0><bd><ed><b8><a1>",1.1,0.00107295664792709
"18",1933,80,"heavy exclamation mark symbol","U+2757","\xE2\x9D\x97",80,"<e2><9d><97>",1.1,0.00106469890050846
"19",1910,723,"smiling face with sunglasses","U+1F60E","\xF0\x9F\x98\x8E",723,"<ed><a0><bd><ed><b8><8e>",1.1,0.00105203702113323
"20",1886,13,"unamused face","U+1F612","\xF0\x9F\x98\x92",13,"<ed><a0><bd><ed><b8><92>",1,0.00103882462526342
"21",1647,29,"weary face","U+1F629","\xF0\x9F\x98\xA9",29,"<ed><a0><bd><ed><b8><a9>",0.9,0.000907251183059947
"22",1624,364,"party popper","U+1F389","\xF0\x9F\x8E\x89",364,"<ed><a0><bc><ed><be><89>",0.9,0.000894589303684717
"23",1588,487,"ok hand sign","U+1F44C","\xF0\x9F\x91\x8C",487,"<ed><a0><bd><ed><b1><8c>",0.9,0.000874770709880009
"24",1575,476,"eyes","U+1F440","\xF0\x9F\x91\x80",476,"<ed><a0><bd><ed><b1><80>",0.9,0.000867613995450532
"25",1565,577,"pile of poo","U+1F4A9","\xF0\x9F\x92\xA9",577,"<ed><a0><bd><ed><b2><a9>",0.9,0.00086210883050478
"26",1560,63,"raised fist","U+270A","\xE2\x9C\x8A",63,"<e2><9c><8a>",0.9,0.000859356248031904
"27",1546,65,"victory hand","U+270C","\xE2\x9C\x8C",65,"<e2><9c><8c>",0.9,0.000851649017107851
"28",1417,485,"fisted hand sign","U+1F44A","\xF0\x9F\x91\x8A",485,"<ed><a0><bd><ed><b1><8a>",0.8,0.000780632389307648
"29",1406,68,"heavy check mark","U+2714","\xE2\x9C\x94",68,"<e2><9c><94>",0.8,0.000774576707867321
"30",1303,1,"grinning face with smiling eyes","U+1F601","\xF0\x9F\x98\x81",1,"<ed><a0><bd><ed><b8><81>",0.7,0.000717873508926074
"31",1240,561,"blue heart","U+1F499","\xF0\x9F\x92\x99",561,"<ed><a0><bd><ed><b2><99>",0.7,0.000683190969767836
"32",1165,4,"smiling face with open mouth and smiling eyes","U+1F604","\xF0\x9F\x98\x84",4,"<ed><a0><bd><ed><b8><84>",0.6,0.000641902232674695
"33",1165,19,"face with stuck-out tongue and winking eye","U+1F61C","\xF0\x9F\x98\x9C",19,"<ed><a0><bd><ed><b8><9c>",0.6,0.000641902232674695
"34",1164,7,"winking face","U+1F609","\xF0\x9F\x98\x89",7,"<ed><a0><bd><ed><b8><89>",0.6,0.00064135171618012
"35",1114,34,"face screaming in fear","U+1F631","\xF0\x9F\x98\xB1",34,"<ed><a0><bd><ed><b8><b1>",0.6,0.00061382589145136
"36",1093,578,"flexed biceps","U+1F4AA","\xF0\x9F\x92\xAA",578,"<ed><a0><bd><ed><b2><aa>",0.6,0.00060226504506528
"37",1085,720,"grinning face","U+1F600","\xF0\x9F\x98\x80",720,"<ed><a0><bd><ed><b8><80>",0.6,0.000597860913108679
"38",1062,482,"white down pointing backhand index","U+1F447","\xF0\x9F\x91\x87",482,"<ed><a0><bd><ed><b1><87>",0.6,0.000585199033733449
"39",1025,6,"smiling face with open mouth and tightly-closed eyes","U+1F606","\xF0\x9F\x98\x86",6,"<ed><a0><bd><ed><b8><86>",0.6,0.000564829923434166
"40",979,484,"white right pointing backhand index","U+1F449","\xF0\x9F\x91\x89",484,"<ed><a0><bd><ed><b1><89>",0.5,0.000539506164683706
"41",962,725,"expressionless face","U+1F611","\xF0\x9F\x98\x91",725,"<ed><a0><bd><ed><b8><91>",0.5,0.000530147384275928
"42",961,576,"dash symbol","U+1F4A8","\xF0\x9F\x92\xA8",576,"<ed><a0><bd><ed><b2><a8>",0.5,0.000529596867781352
"43",958,5,"smiling face with open mouth and cold sweat","U+1F605","\xF0\x9F\x98\x85",5,"<ed><a0><bd><ed><b8><85>",0.5,0.000527945318297627
"44",909,724,"neutral face","U+1F610","\xF0\x9F\x98\x90",724,"<ed><a0><bd><ed><b8><90>",0.5,0.000500970010063442
"45",876,210,"white smiling face","U+263A","\xE2\x98\xBA",210,"<e2><98><ba>",0.5,0.00048280296574246
"46",873,232,"high voltage sign","U+26A1","\xE2\x9A\xA1",232,"<e2><9a><a1>",0.5,0.000481151416258734
"47",819,106,"police cars revolving light","U+1F6A8","\xF0\x9F\x9A\xA8",106,"<ed><a0><bd><ed><ba><a8>",0.5,0.000451423525551673
"48",792,12,"smirking face","U+1F60F","\xF0\x9F\x98\x8F",12,"<ed><a0><bd><ed><b8><8f>",0.4,0.000436559580198142
