"","text","txt_sent_scr"
"4137","@realDonaldTrump BULLSHIT👎🏾👎🏾👎🏾👎🏾👎🏾👮🏾👮🏾👮🏾👮🏾👮🏾👎🏾👎🏾👎🏾👎🏾👎🏾",-0.8
"10755","@realDonaldTrump 🔫💣🔥 hell fire",-0.6
"9679","@realDonaldTrump bitch ass nigga🖕🏽😭",-0.6
"9678","@realDonaldTrump die bitch😂⚰ https://t.co/uRWpnHLivc",-0.533333333333333
"10729","@realDonaldTrump fucking dickhead! 🖕🏾😏",-0.533333333333333
"2763","🙏🏽 Bernie win",0.8
"16171","@realDonaldTrump LMAO😂",0.8
"24160","@Ricky_Vaughn99 @realDonaldTrump 😂awesome!!",0.8
"24194","@realDonaldTrump  Wonderful win!! CONGRATULATIONS!!!👍🏻❤️😃🇺🇸",0.666666666666667
"21436","@jeannie922 @marcorubio LOVE😭😍",0.6
